fold,seed,model,ichimoku,cost_multiplier,total_return,annualized_return,sharpe,sortino,max_drawdown,calmar,profit_factor,completed_trades,win_rate,fees,cvar_95_loss,bars,turnover_notional
0,42,random_forest,True,1.0,-0.007109184314260553,-0.14600116247530642,-2.233600872030844,-3.0688458029939127,-0.020393247673968773,-7.15928942802335,0.5420546091894423,9,0.5555555555555556,95.36202609023528,0.004265200915555667,99,9.536202609023528
0,42,random_forest,True,2.0,-0.019734428079016264,-0.35655229385466797,-6.770500465278718,-8.436288989217037,-0.0271507543941496,-13.132316276688696,0.10261683466592382,9,0.2222222222222222,175.61513561987863,0.004194872231347335,99,8.780756780993931
0,42,random_forest,True,3.0,-0.030501778135843094,-0.4960311348540614,-10.751042654708757,-12.303273339908921,-0.036410817592917866,-13.623180352603304,0.005320048405739498,9,0.1111111111111111,244.0680655759782,0.004185252011491713,99,8.135602185865938
0,42,xgboost,True,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,xgboost,True,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,xgboost,True,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,lstm,True,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,lstm,True,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,lstm,True,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,cnn,True,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,cnn,True,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,cnn,True,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,transformer,True,1.0,-0.010336401784577398,-0.20534217974782915,-5.798663850715242,-6.687537267009846,-0.013133107594698101,-15.63546009710046,0.2907631735060226,5,0.4,50.27285440734707,0.002597625260759506,99,5.0272854407347065
0,42,transformer,True,2.0,-0.016582465818065106,-0.3091963961295891,-9.03950854925015,-9.457054643247236,-0.01848481022566628,-16.727052772241496,0.06242371931284944,5,0.4,93.21206015742247,0.0030073219732108967,99,4.6606030078711225
0,42,transformer,True,3.0,-0.02197689607088904,-0.3883391132751374,-11.233816328470715,-11.177267091737173,-0.023108949038861848,-16.80470680956003,0.0,5,0.0,130.30523703685387,0.0034743821378967034,99,4.343507901228462
0,42,random_forest,False,1.0,-0.011667945356565124,-0.22866053631457114,-3.037799420726535,-4.8304409769256536,-0.027960317903969023,-8.178037785547222,0.6654964022137009,16,0.375,167.9483780405455,0.0040460116094525045,99,16.794837804054552
0,42,random_forest,False,2.0,-0.033668731880911906,-0.5312192070614014,-9.4739014026625,-12.499029335966478,-0.038242820637165664,-13.890691068564765,0.2785798220138053,16,0.25,307.9602917850167,0.004141730758364437,99,15.398014589250838
0,42,random_forest,False,3.0,-0.04773527007205025,-0.6610820601907782,-13.891195278171967,-16.024738210800948,-0.05099681324473215,-12.963203347986973,0.1335066444048211,14,0.21428571428571427,372.16003562583046,0.004271362087194053,99,12.405334520861015
0,42,xgboost,False,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
