fold,seed,model,features,threshold,total_return,annualized_return,sharpe,sortino,max_drawdown,calmar,profit_factor,completed_trades,win_rate,fees,cvar_95_loss,bars,turnover_notional,validation_return,accuracy,roc_auc
0,,buy_and_hold,rule,,0.09824181419119027,6.948561446363139,7.563686615467336,12.859725109590489,-0.029592136857126805,234.81107430366882,,1,1.0,20.98342154347536,0.011190574452816304,99,2.0983421543475362,,,
0,,cash,rule,,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,,,
0,,long_with_risk,rule,,0.05372034661356473,2.1820913508162505,7.60173032446737,13.413304229827151,-0.015112639645592618,144.38849876584106,,2,1.0,21.783285647560554,0.006041303799348441,99,2.1783285647560553,,,
0,,ichimoku,rule,,0.0347465017078985,1.1288512959812946,5.138199767481422,8.715341229573939,-0.015635573352574705,72.19762720088592,5.191595859250157,4,0.75,44.07018981214456,0.006063156200158936,99,4.407018981214456,,,
0,42.0,random_forest,ichi,0.5,-0.007109184314260553,-0.14600116247530642,-2.233600872030844,-3.0688458029939127,-0.020393247673968773,-7.15928942802335,0.5420546091894423,9,0.5555555555555556,95.36202609023528,0.004265200915555667,99,9.536202609023528,0.0016393543156696389,0.63,0.5178021978021977
0,42.0,xgboost,ichi,0.5,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,0.0,0.65,0.5050549450549451
0,42.0,lstm,ichi,0.5,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,0.0,0.65,0.5129670329670329
0,42.0,cnn,ichi,0.5,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,0.0,0.65,0.5648351648351647
0,42.0,transformer,ichi,0.55,-0.010336401784577398,-0.20534217974782915,-5.798663850715242,-6.687537267009846,-0.013133107594698101,-15.63546009710046,0.2907631735060226,5,0.4,50.27285440734707,0.002597625260759506,99,5.0272854407347065,0.0,0.5,0.4892307692307692
0,42.0,ppo,ichi,,0.017014158288653825,0.4523861482513952,3.2603045189459063,5.732089495781086,-0.01797891373235372,25.16204009796819,2.8721130658836995,6,0.6666666666666666,64.88143939137346,0.004756680727850293,99,6.488143939137346,,,
0,42.0,lstm_xgboost_agreement,ichi,,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,,,
0,42.0,random_forest,no_ichi,0.5,-0.011667945356565124,-0.22866053631457114,-3.037799420726535,-4.8304409769256536,-0.027960317903969023,-8.178037785547222,0.6654964022137009,16,0.375,167.9483780405455,0.0040460116094525045,99,16.794837804054552,-0.0017654361571443067,0.58,0.4646153846153846
0,42.0,xgboost,no_ichi,0.5,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,0.0,0.65,0.4786813186813187
0,42.0,lstm,no_ichi,0.5,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,0.0,0.65,0.40527472527472524
0,42.0,cnn,no_ichi,0.5,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,0.0,0.65,0.5195604395604396
0,42.0,transformer,no_ichi,0.5,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,0.0,0.65,0.469010989010989
0,42.0,ppo,no_ichi,,-2.9459511126317395e-05,-0.0006514773902821364,0.05170961728314472,0.07465275083724124,-0.026001566959691913,-0.02505531267758086,0.9989149094368684,14,0.35714285714285715,147.5303685205837,0.006087364529702377,99,14.75303685205837,,,
0,42.0,lstm_xgboost_agreement,no_ichi,,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,,,
1,,buy_and_hold,rule,,0.07807124611220906,4.274744782777236,5.374573794115994,8.259527885031561,-0.04701631593935607,90.9204538333248,,1,1.0,20.781513955097168,0.014774209926657168,99,2.0781513955097166,,,
1,,cash,rule,,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0,,,
1,,long_with_risk,rule,,0.03477050295122064,1.129943893993826,4.539340165060839,6.734541811346107,-0.024996761694813685,45.20361108328149,2.7047503235642054,3,0.6666666666666666,32.372408474677684,0.008335216839877969,99,3.2372408474677683,,,
